Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
Spain,7/8/2015,0,0,1,1,0,0,0,0
Sierra Leone,7/8/2015,4194,287,8674,13155,158,208,3574,3940
Mali,7/8/2015,0,1,7,8,,,,6
United Kingdom,7/8/2015,0,0,1,1,,,,0
Guinea,7/8/2015,11,450,3287,3748,,450,2049,2499
Italy,7/8/2015,0,0,1,1,,,,0
Senegal,7/8/2015,0,0,1,1,0,0,0,0
Liberia,7/8/2015,5636,1879,3151,10666,,,,4806
Liberia,7/9/2015,5636,1879,3151,10666,,,,4806
Senegal,7/9/2015,0,0,1,1,0,0,0,0
Nigeria,7/9/2015,0,1,19,20,0,1,7,8
Liberia,7/9/2015,,1,5,6,,,1,1
United Kingdom,7/9/2015,0,0,1,1,,,,0
United States of America,7/9/2015,0,0,4,4,0,0,1,1
Italy,7/9/2015,0,0,1,1,,,,0
Sierra Leone,7/9/2015,4207,287,8675,13169,158,208,3575,3941
Guinea,7/9/2015,4,450,3290,3744,,450,2055,2505
Mali,7/9/2015,0,1,7,8,,,,6
Spain,7/9/2015,0,0,1,1,0,0,0,0
Senegal,7/10/2015,0,0,1,1,0,0,0,0
Mali,7/10/2015,0,1,7,8,,,,6
Sierra Leone,7/10/2015,4214,287,8676,13177,158,208,3575,3941
Nigeria,7/10/2015,0,1,19,20,0,1,7,8
Italy,7/10/2015,0,0,1,1,,,,0
Guinea,7/10/2015,8,450,3293,3751,,450,2055,2505
Liberia,7/10/2015,,1,5,6,,,1,1
Spain,7/10/2015,0,0,1,1,0,0,0,0
United States of America,7/10/2015,0,0,4,4,0,0,1,1
United Kingdom,7/10/2015,0,0,1,1,,,,0
Liberia,7/10/2015,5636,1879,3151,10666,,,,4806
Nigeria,7/13/2015,0,1,19,20,0,1,7,8
Liberia,7/13/2015,5636,1879,3151,10666,,,,4806
Spain,7/13/2015,0,0,1,1,0,0,0,0
Liberia,7/13/2015,,1,5,6,,,1,1
Senegal,7/13/2015,0,0,1,1,0,0,0,0
Mali,7/13/2015,0,1,7,8,,,,6
United Kingdom,7/13/2015,0,0,1,1,,,,0
United States of America,7/13/2015,0,0,4,4,0,0,1,1
Guinea,7/13/2015,5,450,3299,3754,,450,2056,2506
Italy,7/13/2015,0,0,1,1,,,,0
Sierra Leone,7/13/2015,4227,287,8687,13201,158,208,3580,3946
Senegal,7/14/2015,0,0,1,1,0,0,0,0
United Kingdom,7/14/2015,0,0,1,1,,,,0
Liberia,7/14/2015,,1,6,7,,,2,2
Guinea,7/14/2015,10,450,3300,3760,,450,2056,2506
Spain,7/14/2015,0,0,1,1,0,0,0,0
Liberia,7/14/2015,5636,1879,3151,10666,,,,4806
Mali,7/14/2015,0,1,7,8,,,,6
Italy,7/14/2015,0,0,1,1,,,,0
United States of America,7/14/2015,0,0,4,4,0,0,1,1
Sierra Leone,7/14/2015,4234,287,8688,13209,158,208,3581,3947
Nigeria,7/14/2015,0,1,19,20,0,1,7,8
Spain,7/15/2015,0,0,1,1,0,0,0,0
Nigeria,7/15/2015,0,1,19,20,0,1,7,8
Italy,7/15/2015,0,0,1,1,,,,0
United Kingdom,7/15/2015,0,0,1,1,,,,0
United States of America,7/15/2015,0,0,4,4,0,0,1,1
Guinea,7/15/2015,10,450,3300,3760,,450,2056,2506
Liberia,7/15/2015,5636,1879,3151,10666,,,,4806
Liberia,7/15/2015,,1,6,7,,,2,2
Mali,7/15/2015,0,1,7,8,,,,6
Sierra Leone,7/15/2015,4234,287,8688,13209,158,208,3581,3947
Senegal,7/15/2015,0,0,1,1,0,0,0,0
Mali,7/16/2015,0,1,7,8,,,,6
Italy,7/16/2015,0,0,1,1,,,,0
Guinea,7/16/2015,8,450,3304,3762,,450,2056,2506
Liberia,7/16/2015,5636,1879,3151,10666,,,,4806
Spain,7/16/2015,0,0,1,1,0,0,0,0
United Kingdom,7/16/2015,0,0,1,1,,,,0
Senegal,7/16/2015,0,0,1,1,0,0,0,0
United States of America,7/16/2015,0,0,4,4,0,0,1,1
Liberia,7/16/2015,,0,6,6,,,2,2
Sierra Leone,7/16/2015,4234,287,8688,13209,158,208,3581,3947
Nigeria,7/16/2015,0,1,19,20,0,1,7,8
United States of America,7/17/2015,0,0,4,4,0,0,1,1
Liberia,7/17/2015,5636,1879,3151,10666,,,,4806
United Kingdom,7/17/2015,0,0,1,1,,,,0
Guinea,7/17/2015,10,450,3310,3770,,450,2059,2509
Italy,7/17/2015,0,0,1,1,,,,0
Nigeria,7/17/2015,0,1,19,20,0,1,7,8
Liberia,7/17/2015,,1,6,7,,,2,2
Mali,7/17/2015,0,1,7,8,,,,6
